,time,day_id,workday,holiday,x,y,occupant_id,height,camera_id
3114942,10:06:29.951000,6,False,False,338,302,128518,922,cam1
3115050,10:06:35.438000,6,False,False,333,120,21117,1500,cam0
3115088,10:06:37.256000,6,False,False,337,300,128518,910,cam1
3115089,10:06:37.442000,6,False,False,296,109,21064,1463,cam0
3115093,10:06:37.477000,6,False,False,335,115,107415,1468,cam2
3115138,10:06:39.732000,6,False,False,298,109,21064,1463,cam0
3115190,10:06:42.261000,6,False,False,393,290,128329,1073,cam1
3115282,10:06:46.933000,6,False,False,331,123,21117,1500,cam0
3115391,10:06:52.437000,6,False,False,297,109,21064,1469,cam0
3115457,10:06:55.739000,6,False,False,329,122,21117,1500,cam0
3115495,10:06:57.479000,6,False,False,336,117,107415,1486,cam2
3115509,10:06:58.265000,6,False,False,296,111,21064,1469,cam0
3115561,10:07:00.938000,6,False,False,296,109,21064,1474,cam0
3115591,10:07:02.436000,6,False,False,329,122,21117,1488,cam0
3115715,10:07:08.487000,6,False,False,334,117,107415,1486,cam2
3115872,10:07:16.439000,6,False,False,296,110,21064,1469,cam0
3115911,10:07:18.436000,6,False,False,296,109,21064,1469,cam0
3116089,10:07:28.433000,6,False,False,332,123,21117,1500,cam0
3116099,10:07:28.969000,6,False,False,296,109,21064,1440,cam0
3116178,10:07:34.449000,6,False,False,294,107,21064,1440,cam0
3116207,10:07:36.448000,6,False,False,294,107,21064,1440,cam0
3116211,10:07:36.749000,6,False,False,391,290,128329,1073,cam1
3116225,10:07:37.453000,6,False,False,379,109,21183,1480,cam0
3116288,10:07:41.447000,6,False,False,294,107,21064,1440,cam0
3116331,10:07:44.177000,6,False,False,337,300,128518,922,cam1
3116405,10:07:48.746000,6,False,False,381,106,21183,1421,cam0
3116412,10:07:48.978000,6,False,False,336,116,107778,1486,cam2
3116466,10:07:51.753000,6,False,False,393,292,128329,1073,cam1
3116474,10:07:52.187000,6,False,False,335,114,107778,1474,cam2
3116507,10:07:53.749000,6,False,False,336,302,128518,922,cam1
3116608,10:07:58.754000,6,False,False,383,108,21183,1395,cam0
3116640,10:08:00.450000,6,False,False,299,114,21064,1468,cam0
3116646,10:08:00.748000,6,False,False,385,106,21183,1396,cam0
3116657,10:08:01.262000,6,False,False,391,288,128329,1073,cam1
3116671,10:08:01.952000,6,False,False,390,104,21183,1391,cam0
3116698,10:08:03.248000,6,False,False,298,113,21064,1468,cam0
3116771,10:08:06.751000,6,False,False,392,288,128329,1073,cam1
3116797,10:08:07.754000,6,False,False,298,113,21064,1468,cam0
3116987,10:08:18.755000,6,False,False,298,111,21064,1451,cam0
3117000,10:08:19.447000,6,False,False,392,289,128329,1073,cam1
