entry,time,day_id,workday,holiday,x,y,occupant_id,height,camera_id
1140900,08:24:35.843000,2,True,False,433,125,12248,1617,cam0
1140939,08:24:38.528000,2,True,False,390,109,12234,1516,cam0
1140956,08:24:41.022000,2,True,False,388,108,12234,1516,cam0
1140970,08:24:44.523000,2,True,False,390,108,12234,1511,cam0
1140985,08:24:48.322000,2,True,False,388,108,12234,1511,cam0
1140986,08:24:48.524000,2,True,False,388,108,12234,1511,cam0
1141035,08:25:00.020000,2,True,False,391,109,12234,1511,cam0
1141078,08:25:09.027000,2,True,False,391,111,12234,1539,cam0
1141115,08:25:12.969000,2,True,False,341,129,12787,1620,cam1
1141116,08:25:13.029000,2,True,False,432,113,12260,1570,cam0
1141153,08:25:16.474000,2,True,False,349,149,12787,1668,cam1
1141164,08:25:17.245000,2,True,False,204,224,21169,1710,cam2
1141283,08:25:34.521000,2,True,False,256,99,12231,1406,cam0
1141405,08:25:54.030000,2,True,False,439,121,12273,1619,cam0
1141435,08:25:57.325000,2,True,False,439,122,12273,1619,cam0
1141446,08:25:58.674000,2,True,False,360,134,12787,1248,cam1
1141553,08:26:07.979000,2,True,False,333,294,12811,1070,cam1
1141635,08:26:13.173000,2,True,False,348,133,12787,1211,cam1
1141710,08:26:21.169000,2,True,False,347,135,12787,1211,cam1
1141726,08:26:23.326000,2,True,False,447,110,12306,1519,cam0
1141770,08:26:28.669000,2,True,False,365,127,12787,1210,cam1
1141933,08:26:46.475000,2,True,False,343,137,12787,1171,cam1
1141960,08:26:48.744000,2,True,False,475,109,21220,910,cam2
1142091,08:27:14.471000,2,True,False,346,123,12787,1208,cam1
1142094,08:27:15.178000,2,True,False,345,123,12787,1193,cam1
1142124,08:27:22.676000,2,True,False,346,123,12787,1209,cam1
1142127,08:27:23.476000,2,True,False,346,123,12787,1209,cam1
1142250,08:27:44.002000,2,True,False,347,126,12787,1177,cam1
1142290,08:27:48.477000,2,True,False,349,125,12787,1169,cam1
1142325,08:27:51.521000,2,True,False,390,109,12345,1522,cam0
1142347,08:27:53.321000,2,True,False,437,112,12354,1545,cam0
1142405,08:27:57.940000,2,True,False,494,113,21304,1047,cam2
1142415,08:27:58.522000,2,True,False,389,109,12345,1516,cam0
1142481,08:28:03.974000,2,True,False,350,124,12787,1185,cam1
1142508,08:28:06.177000,2,True,False,350,125,12787,1185,cam1
1142556,08:28:09.944000,2,True,False,434,109,21281,1532,cam2
1142573,08:28:10.973000,2,True,False,347,125,12787,1209,cam1
1142596,08:28:12.437000,2,True,False,442,109,21281,1486,cam2
1142599,08:28:12.570000,2,True,False,391,108,12345,1516,cam0
1142606,08:28:13.023000,2,True,False,435,117,12357,1584,cam0
1142675,08:28:18.817000,2,True,False,443,112,12358,1545,cam0
1142677,08:28:19.018000,2,True,False,396,105,12359,1495,cam0
1142712,08:28:22.320000,2,True,False,396,106,12359,1512,cam0
1142735,08:28:24.168000,2,True,False,355,127,12787,1239,cam1
1142749,08:28:25.322000,2,True,False,435,120,12362,1574,cam0
1143159,08:29:00.972000,2,True,False,429,136,12858,1317,cam1
1143185,08:29:03.020000,2,True,False,390,111,12384,1539,cam0
1143196,08:29:03.969000,2,True,False,423,135,12858,1281,cam1
1143274,08:29:10.468000,2,True,False,422,139,12858,1358,cam1
1143348,08:29:16.669000,2,True,False,360,129,12787,1210,cam1
1143422,08:29:22.319000,2,True,False,393,113,12384,1538,cam0
1143539,08:29:30.023000,2,True,False,393,112,12384,1539,cam0
1143540,08:29:30.169000,2,True,False,354,134,12787,1211,cam1
1143559,08:29:31.675000,2,True,False,421,135,12858,1310,cam1
1143575,08:29:33.020000,2,True,False,390,111,12384,1538,cam0
1143626,08:29:36.940000,2,True,False,401,109,21368,1093,cam2
1143668,08:29:39.436000,2,True,False,402,112,21368,1091,cam2
1143733,08:29:42.666000,2,True,False,431,135,12858,1325,cam1
1143861,08:29:51.742000,2,True,False,427,110,21374,1501,cam2
1143876,08:29:52.937000,2,True,False,429,111,21374,1502,cam2
1143907,08:29:54.740000,2,True,False,428,110,21374,1525,cam2
1144030,08:30:03.742000,2,True,False,430,112,21378,1519,cam2
1144046,08:30:04.967000,2,True,False,423,135,12858,1289,cam1
1144047,08:30:05.021000,2,True,False,390,107,12432,1511,cam0
1144053,08:30:05.520000,2,True,False,390,107,12432,1511,cam0
1144058,08:30:05.990000,2,True,False,426,133,12858,1310,cam1
1144194,08:30:16.815000,2,True,False,395,107,12450,1512,cam0
1144224,08:30:19.019000,2,True,False,396,108,12450,1512,cam0
1144242,08:30:20.520000,2,True,False,395,106,12450,1506,cam0
1144308,08:30:25.494000,2,True,False,421,133,12858,1288,cam1
1144507,08:30:42.895000,2,True,False,422,134,12858,1259,cam1
1144511,08:30:43.393000,2,True,False,422,134,12858,1266,cam1
1144515,08:30:43.996000,2,True,False,422,134,12858,1281,cam1
